mjd,i,err_i,z,err_z,r,err_r,g,err_g
55534.5,22.582050922357766,0.14493022985103232,22.6286068593769,0.14963933056351797,22.129016880360382,0.1420844570031368,21.764291358601355,0.24163360131076447
55537.6,22.372285820468477,0.11614510803990868,22.416576365597678,0.12107885168499462,21.93462449674807,0.10974931680643814,21.59506328610057,0.1963460838944416
55540.7,22.17944817584909,0.0946824304703018,22.221017319377637,0.09978849424691807,21.75981011930915,0.08453250904539181,21.450972110177304,0.15887800187169207
55543.8,22.004757734575364,0.08024097524557926,22.043142959122676,0.08536945862402288,21.60582397943213,0.0667116387109244,21.33335555289345,0.1296057027901944
55546.9,21.84920397199133,0.0719159438163281,21.88394002172093,0.07684854385515563,21.473664807333265,0.056332822534734595,21.24325313358817,0.10888490966645047
55550.0,21.7135382119112,0.06805678015993027,21.74416106542604,0.07261323527322339,21.364070769713464,0.052333379527201164,21.181394620840493,0.0965396287629715
55553.1,21.5982682342038,0.06671092698627608,21.624319239024175,0.07082545826155456,21.277513133663163,0.05234690920019555,21.148191731807415,0.09124440402094174
55556.2,21.503655421422295,0.06624954399899317,21.52468554363996,0.06995296829871109,21.214192733118438,0.05389771669843651,21.14373320642163,0.09062190264312363
55559.3,21.429714464270802,0.06562795695133625,21.445288603350434,0.06899409274928116,21.174039279759754,0.05535086328556222,21.16778334192115,0.0921739009120635
55562.4,21.376215614718873,0.06431398735007528,21.385916930451046,0.06742380968504917,21.156713525143218,0.05590226799524256,21.21978402929375,0.09404205873778845
55565.5,21.342689444854344,0.06213256088186722,21.34612364136224,0.065060938016384,21.16161224549802,0.05527151970545073,21.298860288133454,0.09514344220877045
55568.6,21.328434039640854,0.05914862385021203,21.325233550042114,0.06196308427642958,21.187875985587752,0.05348026101281591,21.403829250711368,0.09500533110062541
55571.7,21.33252452291029,0.05560614762168882,21.322352537916927,0.05836951876412944,21.234399463785337,0.05074640953343696,21.53321250062305,0.0935940638471282
55574.8,21.35382478869238,0.051908563496403035,21.33637907305615,0.05468053073389234,21.299844507640756,0.04745457749474965,21.685251626785345,0.09121939462155262
55577.9,21.391001284690333,0.04861427601830353,21.36601772699595,0.05144800285050186,21.3826553581045,0.04416834098417944,21.857926810628243,0.08850329496622923
55581.0,21.442538671653978,0.046398612061454306,21.409794515543467,0.04933074669820485,21.481076151782105,0.041638112476255165,22.048978223755057,0.0863704739819117
55584.1,21.50675716195144,0.04591165122751837,21.466073870404472,0.04895293126478747,21.593170364523274,0.04070949251948414,22.25592997575663,0.08598449217707439
55587.2,21.581831323051148,0.04752568398859685,21.53307703175389,0.050668946806635945,21.716841976604314,0.042037013535059536,22.476116318044376,0.0885351204171167
55590.3,21.665810116989093,0.05114794544702263,21.608901638130135,0.05439495146087697,21.84985810025563,0.04574864317742551,22.70670977985847,0.09488524443598816
55593.4,21.75663793559326,0.05628693490261258,21.691542279410555,0.05966854350555655,21.989872794376538,0.0514249088071825,22.944750887796516,0.10530599515526977
55596.5,21.85217638315322,0.06227934996451132,21.778911771258635,0.06585562461765192,22.134451779404827,0.05839240573469926,23.1871791004736,0.11952707755694592
55599.6,21.950226553573515,0.06846925084020185,21.868862905250182,0.07232134068256953,22.28109775738497,0.06599108497331406,23.430864575758278,0.13700841742758968
55602.7,22.04855154774802,0.0742839961827511,21.95921042804082,0.07850943400310727,22.427276038661148,0.07368336750417391,23.672640379616126,0.15718856916932078
55605.8,22.144898978968087,0.079258350199351,22.04775300521365,0.08397185269187894,22.57044017703862,0.08107986979721932,23.9093347430412,0.17961230126252495
55608.9,22.237023219442364,0.08305784433965563,22.132294930860894,0.08839523599718681,22.708057319889775,0.08795666435302571,24.137802976930317,0.20397185146396143
55612.0,22.322707149410974,0.08553211119626859,22.21066735228999,0.09165313450611406,22.837632988257923,0.09429539335502812,24.354958663920115,0.23011271570873792
55615.1,22.399783181624002,0.08682289493908234,22.280748790340112,0.0939045281079606,22.95673501440234,0.10035418275072824,24.557803761028367,0.25803081124285593
55618.2,22.46615334791474,0.08755124484614395,22.340484749437792,0.09575368861480861,23.063016380189964,0.10676127226399415,24.743457267039588,0.28786934679737586
55621.3,22.519808251025154,0.08907622106482736,22.387906227414874,0.09845432391279696,23.154236718930775,0.11459551462519509,24.90918213365012,0.31991544556002044
55624.4,22.558844703306903,0.09366965801908651,22.421146953033585,0.10403209855077636,23.228282265328502,0.12537722312355065,25.052410128859776,0.3545938757473402
55627.5,22.58148189427439,0.10420345525481281,22.438459198733312,0.11504620964084201,23.283184062833627,0.14088629841651162,25.170764394477914,0.39245502445327746
