mjd,r,err_r,g,err_g,i,err_i,B,err_B,z,err_z
56239.5,20.8520538299868,0.13737693220451866,20.855812147220263,0.1374016926136317,20.94361492562092,0.1379801526013493,20.96307789116662,0.1381083812118196,20.900496745915063,0.13769608806050845
56242.63636363636,20.658192799080666,0.10929448856608602,20.661916175329395,0.10931418748090375,20.748902653463915,0.10977439932461491,20.768184672305267,0.10987641691011539,20.70618534240873,0.1095484055038498
56245.77272727273,20.473012494279374,0.08847480956791805,20.476702494135736,0.08849075601494885,20.562909224368013,0.08886330138835494,20.58201839895355,0.08894588695756062,20.520574831830913,0.08868036046082463
56248.90909090909,20.297673832978717,0.07448947709116199,20.30133223027252,0.07450290287999509,20.38680065329845,0.0748165594944442,20.405746169657107,0.07488609204731521,20.344828828587254,0.07466253928341415
56252.045454545456,20.133223985526683,0.06621507912565847,20.136852742827784,0.06622701358402146,20.22162870871756,0.06650582874410788,20.240420730290737,0.06656763856120024,20.17999693578514,0.06636891976405923
56255.181818181816,19.980588604251807,0.061828333488515116,19.984189850967994,0.06183947731578629,20.06832310748098,0.062099820946841515,20.086972661696336,0.06215753645421928,20.027006956200523,0.06197198379342168
56258.318181818184,19.840565081080058,0.05937498114557827,19.84414109033844,0.05938568280969062,19.927684742851397,0.05963569594898096,19.94620360141107,0.05969112159938407,19.886658134240236,0.0595129324126734
56261.454545454544,19.713816895413515,0.0573740518895785,19.71737005992395,0.057384392931871614,19.800380007559568,0.0576259806225572,19.818780561446488,0.05767953868515904,19.759615490681824,0.05750735511155762
56264.59090909091,19.60086910322599,0.054993152056621926,19.60440191033399,0.05500306399242994,19.686936263094992,0.05523462627546977,19.705231393369502,0.05528596216639949,19.646405301295943,0.05512092462355718
56267.72727272727,19.50210500716821,0.051924583277636285,19.505620013304792,0.05193394216235585,19.587738495183885,0.052152583437335136,19.60594144067676,0.052201055422558935,19.547411759211343,0.052045227859223386
56270.86363636364,19.417764035742096,0.04820705586867584,19.42126384049169,0.04821574473832984,19.503027183656002,0.048418732403481046,19.521151406674903,0.04846373490805259,19.4628748491628,0.048319065137455076
56274.0,19.347940847716643,0.04408568502644187,19.35142806772427,0.04409363109473358,19.43289740292505,0.04427926466656168,19.45095645413187,0.04432042091707229,19.392889449828488,0.04418812113081977
56277.13636363636,19.2925856658091,0.03990870583963226,19.296062908750287,0.039915899084638544,19.377299157138737,0.040083944410682214,19.39530654073235,0.04012120266724399,19.337405668284475,0.04000143992477252
56280.27272727273,19.251505831554994,0.036036224426567974,19.25497567037769,0.03604271972929073,19.336038941870584,0.036194458976800695,19.354007982225994,0.03622810358389882,19.296230398488433,0.036119964133534944
56283.40909090909,19.22436856127058,0.032745539694573424,19.227833508945707,0.03275144191438406,19.30878251218752,0.032889324890290735,19.326726223066885,0.03291989895424004,19.26903008364019,0.03282163671062763
56286.545454545456,19.210704871300095,0.030153499565778848,19.214167356267637,0.030158934617799525,19.295058825133026,0.03028590314944375,19.312989782554837,0.030314058764244894,19.25533465055605,0.030223576830388333
56289.681818181816,19.20991462938747,0.028228693488102027,19.213376971924106,0.028233781624677472,19.294265113279096,0.02835264528149616,19.312195333107866,0.028379005156874356,19.254542572769708,0.028294300818046337
56292.818181818184,19.22127267822367,0.026980712810768907,19.224737067902822,0.026985576013298398,19.3056730351596,0.02709918475281747,19.323613856411782,0.027124380466628753,19.26592700830537,0.027043422109667772
56295.954545454544,19.243935967032883,0.026840963373118625,19.247404441480967,0.02684580136912306,19.32843583817464,0.026958821693807696,19.346397812975226,0.02698388720427899,19.288642947835854,0.026903348138325643
56299.09090909091,19.27695161770322,0.02902411852464473,19.28042604280222,0.029029349969196417,19.361596460135218,0.02915156307081828,19.379589251208984,0.029178665536152053,19.321735299549346,0.029091572969425935
56302.22727272727,19.319265843404708,0.03524222426478762,19.32274789510359,0.035248576388045544,19.404096487049173,0.035396972444906964,19.422128773534553,0.03542987686327449,19.364147828486523,0.03532411976702578
56305.36363636364,19.369733630092014,0.04670403523831332,19.373224777966357,0.046712453153885294,19.454785877127108,0.04690911208573941,19.472865269423266,0.04695271247011821,19.414732860536617,0.046812553157978484
56308.5,19.42712908471856,0.06381682943544881,19.430630577392265,0.06382833167426843,19.512433354444852,0.06409704833777989,19.530566318722492,0.06415661958280801,19.472261654693227,0.06396509892298981
